key,level,typology,size_stratum,stratified_on,power_kW_min,power_kW_max,annual_kWh_min,annual_kWh_max,n_pods,n_pod_days,n_states,zero_day_share,zero_day_share_median_pod,closure_class_shares,rho_within_bin,thin_months
L1_domestic_s0,1,domestic,0,annual_kWh,0.5,10.0,0.0,385.73589434839573,3336,1225165,14,0.4448,0.4721,"36%,6%,58%",0.802,
L1_domestic_s1,1,domestic,1,annual_kWh,0.5,15.0,386.0470022124685,1172.672899034288,3336,1150661,20,0.1271,0.0,"73%,7%,20%",0.658,
L1_domestic_s2,1,domestic,2,annual_kWh,0.5,65.0,1172.8561639981997,19943.929030474494,3337,1144628,21,0.0149,0.0,"95%,2%,3%",0.461,
L1_47_s0,1,47,0,annual_kWh,1.5,6.0,4.005027592507868,2030.8359066470637,57,18390,17,0.083,0.0,"74%,11%,16%",0.848,
L1_47_s1,1,47,1,annual_kWh,3.0,20.0,2033.9794554997013,6160.451745632179,57,17997,21,0.0097,0.0,"91%,9%,0%",0.746,2
L1_47_s2,1,47,2,annual_kWh,3.0,130.0,6329.69101310336,493609.13207116787,57,19486,21,0.0,0.0,"100%,0%,0%",0.616,
L1_84_s0,1,84,0,power_kW,1.5,2.0,0.0,812.372597707829,14,5047,15,0.2316,0.0,"64%,14%,21%",0.723,"2,4,5"
L1_84_s1,1,84,1,power_kW,3.0,7.0,0.0,10730.165282056925,59,18902,21,0.0939,0.0,"86%,2%,12%",0.654,
L1_84_s2,1,84,2,power_kW,10.0,100.0,0.0,61447.87039930555,41,12322,21,0.0331,0.0,"93%,5%,2%",0.611,"2,4"
L1_55_s0,1,55,0,power_kW,3.0,22.5,3.171390527921007,61765.941534624406,29,11347,21,0.0791,0.0,"79%,7%,14%",0.519,2
L1_55_s1,1,55,1,power_kW,25.0,53.0,2275.3524103775403,106958.0510865903,39,13571,21,0.0191,0.0,"92%,3%,5%",0.378,2
L1_55_s2,1,55,2,power_kW,55.0,180.4,429.0891914188582,397394.2277486911,35,12570,21,0.0074,0.0,"97%,0%,3%",0.374,2
L1_01_s0,1,01,0,power_kW,1.5,1.5,0.0,285.3443303354469,19,6708,13,0.4761,0.5132,"21%,5%,74%",0.822,"2,4,5"
L1_01_s1,1,01,1,power_kW,3.0,4.5,0.0,1621.3779370250597,39,13990,18,0.412,0.3279,"26%,8%,67%",0.577,
L1_01_s2,1,01,2,power_kW,6.0,39.0,119.71799336004695,82807.13114754097,41,13276,21,0.034,0.0,"85%,7%,7%",0.52,
L1_IL_s0,1,IL,0,power_kW,0.5,2.5,10.43637745394678,4364.33109493046,25,8647,18,0.0201,0.0,"92%,4%,4%",0.889,"2,4,5"
L1_IL_s1,1,IL,1,power_kW,3.0,9.0,0.0,21373.565526270602,31,11470,19,0.0252,0.0,"94%,3%,3%",0.791,
L1_IL_s2,1,IL,2,power_kW,10.0,54.0,10.440921171715384,96536.90786395958,39,12682,21,0.038,0.0,"95%,0%,5%",0.93,
L1_56_s0,1,56,0,power_kW,3.0,9.0,0.0,28071.368631712146,15,4562,21,0.1241,0.0,"80%,7%,13%",0.342,"2,4,5"
L1_56_s1,1,56,1,power_kW,10.0,16.6,389.92564030697474,33722.02588578345,37,13468,21,0.0128,0.0,"86%,14%,0%",0.413,
