D_49DES;FDESC;TATE3DES;N_Utenti;Percentuale [%];Cumulativa [%]
DOMESTICI;USI DOMESTICI NON RESID. ;Abitazioni private                                                                                                                                                                                                                                             ;6024;47.67;47.67
DOMESTICI;USI DOMESTICI RESIDENTI  ;Abitazioni private                                                                                                                                                                                                                                             ;4387;34.71;82.38
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;172;1.36;83.74
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;155;1.23;84.97
BASSA TENSIONE ILLUMINAZIONE PUBBLICA;BT I.P. liberi F3        ;Servizi per la rete stradale (escluse ootostrodeJ                                                                                                                                                                                                              ;107;0.85;85.82
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;Servizi di alloggio di alberghi e simili                                                                                                                                                                                                                       ;79;0.63;86.45
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;74;0.59;87.04
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;48;0.38;87.42
BT Utenze Ricarica Pubblica Veicoli Elettrici;BT Ric.Pubbl.Veicoli F3  ;Colonnine pubbliche di ricarica veicoli elettrici                                                                                                                                                                                                              ;32;0.25;87.67
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Magazzinaggio e deposito non refrigerato                                                                                                                                                                                                                       ;32;0.25;87.92
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;26;0.21;88.13
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;2022Ristorazione con somministrazione                                                                                                                                                                                                                          ;24;0.19;88.32
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;20;0.16;88.48
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;17;0.13;88.61
BASSA TENSIONE POTENZA IMPEGNATA DA 10,1 A 15 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;16;0.13;88.74
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;2022Telecomunicazioni fisse                                                                                                                                                                                                                                    ;15;0.12;88.86
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Coltivazione di colture agricole non permanenti                                                                                                                                                                                                                ;15;0.12;88.98
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;2022Bar e altri esercizi simili senza cucina                                                                                                                                                                                                                   ;15;0.12;89.1
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;2022Costruzione di edifici residenziali e non residenziali                                                                                                                                                                                                     ;15;0.12;89.22
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Magazzinaggio e deposito non refrigerato                                                                                                                                                                                                                       ;15;0.12;89.34
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;2022ALTRE ATTIVITÀ DI SERVIZI PER LA PERSONA                                                                                                                                                                                                                   ;14;0.11;89.45
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;14;0.11;89.56
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Magazzinaggio e deposito non refrigerato                                                                                                                                                                                                                       ;13;0.1;89.66
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Attività di trasmissione radiofonica e distribuzione di audio                                                                                                                                                                                                  ;13;0.1;89.76
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Allevamento di animali                                                                                                                                                                                                                                         ;12;0.09;89.85
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;Attività delle organizzazioni religiose                                                                                                                                                                                                                        ;12;0.09;89.94
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Raccolta, trattamento e fornitura di acqua                                                                                                                                                                                                                     ;12;0.09;90.03
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;Allevamento di bovini da latte                                                                                                                                                                                                                                 ;12;0.09;90.12
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Allevamento di animali                                                                                                                                                                                                                                         ;11;0.09;90.21
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;11;0.09;90.3
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Amministrazione dello Stato e delle politiche economiche, sociali e ambientali della comunità                                                                                                                                                                  ;10;0.08;90.38
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;10;0.08;90.46
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Attività di servizi di intermediazione per attività immobiliari                                                                                                                                                                                                ;10;0.08;90.54
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;2022Servizi dei saloni di barbiere e parrucchiere                                                                                                                                                                                                              ;10;0.08;90.62
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Raccolta, trattamento e fornitura di acqua                                                                                                                                                                                                                     ;10;0.08;90.7
BASSA TENSIONE POTENZA IMPEGNATA DA 10,1 A 15 KW;BT CLIENTI LIBERI F3     ;2022Costruzione di edifici residenziali e non residenziali                                                                                                                                                                                                     ;9;0.07;90.77
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;2022Fabbricazione di porte e finestre in legno (escluse porte blindate)                                                                                                                                                                                        ;9;0.07;90.84
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Attività di organizzazioni associative culturali e ricreative                                                                                                                                                                                                  ;9;0.07;90.91
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Trasporto di merci su strada e servizi di trasloco                                                                                                                                                                                                             ;9;0.07;90.98
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Trasporto di merci su strada e servizi di trasloco                                                                                                                                                                                                             ;8;0.06;91.04
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Commercio al dettaglio di altri prodotti vari non di seconda mano n.c.a.                                                                                                                                                                                       ;8;0.06;91.1
BASSA TENSIONE POTENZA IMPEGNATA DA 10,1 A 15 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;8;0.06;91.16
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;2022Bar e altri esercizi simili senza cucina                                                                                                                                                                                                                   ;8;0.06;91.22
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Consulenza imprenditoriale e altre attività di consulenza gestionale                                                                                                                                                                                           ;7;0.06;91.28
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Attività delle organizzazioni religiose                                                                                                                                                                                                                        ;7;0.06;91.34
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;2022Costruzione di edifici residenziali e non residenziali                                                                                                                                                                                                     ;7;0.06;91.4
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Commercio al dettaglio di articoli di abbigliamento per adulti                                                                                                                                                                                                 ;7;0.06;91.46
