D_49DES;N_Utenti;Percentuale [%]
DOMESTICI;10424;82.48
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;580;4.59
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;407;3.22
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;365;2.89
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;334;2.64
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;249;1.97
BASSA TENSIONE POTENZA IMPEGNATA DA 10,1 A 15 KW;137;1.08
BASSA TENSIONE ILLUMINAZIONE PUBBLICA;107;0.85
BT Utenze Ricarica Pubblica Veicoli Elettrici;32;0.25
DOMESTICI SPERIMENTAZIONE RICARICA VEICOLI ELETTRI;3;0.02
