D_49DES;FDESC;TATE3DES;N_Utenti;Percentuale [%];Cumulativa [%]
DOMESTICI;USI DOMESTICI NON RESID. ;Abitazioni private                                                                                                                                                                                                                                             ;2541;51.87;51.87
DOMESTICI;USI DOMESTICI RESIDENTI  ;Abitazioni private                                                                                                                                                                                                                                             ;1513;30.88;82.75
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;79;1.61;84.36
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;76;1.55;85.91
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;Servizi di alloggio di alberghi e simili                                                                                                                                                                                                                       ;46;0.94;86.85
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;39;0.8;87.65
BASSA TENSIONE ILLUMINAZIONE PUBBLICA;BT I.P. liberi F3        ;Servizi per la rete stradale (escluse ootostrodeJ                                                                                                                                                                                                              ;37;0.76;88.41
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;23;0.47;88.88
BT Utenze Ricarica Pubblica Veicoli Elettrici;BT Ric.Pubbl.Veicoli F3  ;Colonnine pubbliche di ricarica veicoli elettrici                                                                                                                                                                                                              ;13;0.27;89.15
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;2022Ristorazione con somministrazione                                                                                                                                                                                                                          ;12;0.24;89.39
BASSA TENSIONE POTENZA IMPEGNATA DA 10,1 A 15 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;11;0.22;89.61
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Magazzinaggio e deposito non refrigerato                                                                                                                                                                                                                       ;9;0.18;89.79
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;2022Bar e altri esercizi simili senza cucina                                                                                                                                                                                                                   ;8;0.16;89.95
BASSA TENSIONE POTENZA IMPEGNATA DA 1,6 A 3 KW;BT CLIENTI LIBERI F3     ;Allevamento di animali                                                                                                                                                                                                                                         ;8;0.16;90.11
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;Servizi generali degli edifici per abitazioni private                                                                                                                                                                                                          ;7;0.14;90.25
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;6;0.12;90.37
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;6;0.12;90.49
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;2022Costruzione di edifici residenziali e non residenziali                                                                                                                                                                                                     ;6;0.12;90.61
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Commercio al dettaglio di altri prodotti vari non di seconda mano n.c.a.                                                                                                                                                                                       ;5;0.1;90.71
BASSA TENSIONE POTENZA IMPEGNATA DA 6,1 A 10 KW;BT CLIENTI LIBERI F3     ;Attività degli organi legislativi ed esecutivi e delle amministrazioni centrali e locali                                                                                                                                                                       ;5;0.1;90.81
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;Attività di trasmissione radiofonica e distribuzione di audio                                                                                                                                                                                                  ;5;0.1;90.91
BASSA TENSIONE POTENZA IMPEGNATA FINO 1,5 KW;BT CLIENTI LIBERI F3     ;2022Telecomunicazioni fisse                                                                                                                                                                                                                                    ;5;0.1;91.01
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;2022Fabbricazione di porte e finestre in legno (escluse porte blindate)                                                                                                                                                                                        ;5;0.1;91.11
BASSA TENSIONE POTENZA DISPONIBILE OLTRE 16,5 KW;BT CLIENTI LIBERI F3     ;2022Minimercati ed altri esercizi non specializzati di alimentari vari                                                                                                                                                                                         ;4;0.08;91.19
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Commercio al dettaglio di articoli di abbigliamento per adulti                                                                                                                                                                                                 ;4;0.08;91.27
BASSA TENSIONE POTENZA IMPEGNATA DA 3,1 A 6 KW;BT CLIENTI LIBERI F3     ;Magazzinaggio e deposito non refrigerato                                                                                                                                                                                                                       ;4;0.08;91.35
