POD;N_Righe;N_Mesi;Tot_NaN_Q;Tot_Celle;Completezza [%]
99999E00000053;2084;17;16;200064;99.99
99999E00003208;1042;17;8;100032;99.99
99999E00003209;1042;17;8;100032;99.99
99999E00003382;798;13;8;76608;99.99
99999E00003384;798;13;8;76608;99.99
99999E00003519;1100;18;8;105600;99.99
99999E00003632;980;16;8;94080;99.99
99999E00003633;858;14;8;82368;99.99
99999E00003678;980;16;8;94080;99.99
99999E00010019;1042;17;8;100032;99.99
99999E00010036;1100;18;8;105600;99.99
99999E00010037;1100;18;8;105600;99.99
99999E00010038;1563;17;12;150048;99.99
99999E00010045;1100;18;8;105600;99.99
99999E00010048;1100;18;8;105600;99.99
99999E00010050;1100;18;8;105600;99.99
99999E00010056;1100;18;8;105600;99.99
99999E00010057;1042;17;8;100032;99.99
99999E00010059;1100;18;8;105600;99.99
99999E00010062;1100;18;8;105600;99.99
99999E00010069;1042;17;8;100032;99.99
99999E00010076;920;15;8;88320;99.99
99999E00010080;1042;17;8;100032;99.99
99999E00010081;920;15;8;88320;99.99
99999E00010082;920;15;8;88320;99.99
99999E00010083;858;14;8;82368;99.99
99999E00010095;1042;17;8;100032;99.99
99999E00010098;980;16;8;94080;99.99
99999E00010105;1042;17;8;100032;99.99
99999E00010109;980;16;8;94080;99.99
99999E00010110;980;16;8;94080;99.99
99999E00010113;858;14;8;82368;99.99
99999E00010117;1100;18;8;105600;99.99
99999E00010121;1042;17;8;100032;99.99
99999E00010122;920;15;8;88320;99.99
99999E00010123;920;15;8;88320;99.99
99999E00010127;798;13;8;76608;99.99
99999E00010128;798;13;8;76608;99.99
99999E00010129;798;13;8;76608;99.99
99999E00010130;1042;17;8;100032;99.99
99999E00010131;798;13;8;76608;99.99
99999E00010132;798;13;8;76608;99.99
99999E00010133;1042;17;8;100032;99.99
99999E00010135;798;13;8;76608;99.99
99999E00010136;1042;17;8;100032;99.99
99999E00010137;1042;17;8;100032;99.99
99999E00010138;1042;17;8;100032;99.99
99999E00010139;1042;17;8;100032;99.99
99999E00010141;920;15;8;88320;99.99
99999E00010142;920;15;8;88320;99.99
99999E00010148;980;16;8;94080;99.99
99999E00010151;980;16;8;94080;99.99
99999E00010152;920;15;8;88320;99.99
99999E00010153;920;15;8;88320;99.99
99999E00010154;980;16;8;94080;99.99
99999E00010155;798;13;8;76608;99.99
99999E00010156;798;13;8;76608;99.99
99999E00010161;1100;18;8;105600;99.99
99999E00010162;1100;18;8;105600;99.99
99999E00010164;1100;18;8;105600;99.99
99999E00010169;1102;18;8;105792;99.99
99999E00010175;980;16;8;94080;99.99
99999E00010178;920;15;8;88320;99.99
99999E00010182;798;13;8;76608;99.99
99999E00010183;778;15;0;74688;100.0
99999E00010193;920;15;8;88320;99.99
99999E00010217;1042;17;8;100032;99.99
99999E00010218;1042;17;8;100032;99.99
99999E00010219;920;15;8;88320;99.99
99999E00010220;920;15;8;88320;99.99
99999E00010225;920;15;8;88320;99.99
99999E00010226;980;16;8;94080;99.99
99999E00010227;798;13;8;76608;99.99
99999E00010235;920;15;8;88320;99.99
99999E00010237;920;15;8;88320;99.99
99999E00010239;980;16;8;94080;99.99
99999E00010242;920;15;8;88320;99.99
99999E00010251;858;14;8;82368;99.99
99999E00010263;1042;17;8;100032;99.99
99999E00010264;1042;17;8;100032;99.99
99999E00010265;1042;17;8;100032;99.99
99999E00010290;1042;17;8;100032;99.99
99999E00010291;1042;17;8;100032;99.99
99999E00010292;1042;17;8;100032;99.99
