Tipologia;N_Osservazioni;Media_kWh;Mediana_kWh;StdDev_kWh;Min_kWh;Max_kWh;N_POD
DOMESTICI | USI DOMESTICI NON RE | Abitazioni private                 ;40495;53921.4;21647.0;106241.3;-5807.0;4931111.0;2541
DOMESTICI | USI DOMESTICI RESIDE | Abitazioni private                 ;25953;179968.3;157556.0;132546.2;-42049.0;1821207.0;1513
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi generali degli edifici per ;3680;157880.1;77748.0;282184.9;0.0;6171506.0;235
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi di alloggio di alberghi e s;857;967333.5;494661.0;1370124.6;2136.0;8013271.0;56
BASSA TENSIONE ILLUM | BT I.P. liberi F3    | Servizi per la rete stradale (esclu;594;1219862.6;625045.5;1454984.4;0.0;8397616.0;37
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività degli organi legislativi e;324;405857.4;182530.5;541694.8;0.0;2923187.0;23
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Magazzinaggio e deposito non refrig;349;102868.7;9129.0;362339.0;0.0;3433263.0;21
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Bar e altri esercizi simili sen;265;1921837.2;1544724.0;1854274.5;1893.0;9742423.0;17
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ristorazione con somministrazio;230;1600228.5;863064.0;1712660.8;1921.0;8760083.0;16
BT Utenze Ricarica P | BT Ric.Pubbl.Veicoli | Colonnine pubbliche di ricarica vei;212;14188.7;5241.5;25882.1;1758.0;204545.0;13
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Allevamento di animali             ;200;83069.2;6564.5;317753.9;0.0;2896798.0;12
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Costruzione di edifici residenz;179;314240.6;145993.0;542303.4;0.0;3020777.0;11
