Tipologia;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;Media
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di rivendita di telecomuni;5469203.0;5760506.0;5594483.0;5838567.0;5130160.3;5508300.3;5619969.0;4790958.7;4671633.7;5145983.0;4963223.7;4754752.7;5053702.0;5190870.0;4683130.7;4767541.7;4637068.7;5011272.0;5143962.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di pane e prodotti di pa;;;;;4138371.0;6779854.0;7973653.0;2492968.0;2287656.0;5986999.0;4970642.0;4517017.0;6392479.0;7344938.0;4939845.0;2795485.0;2185266.0;5149448.0;4853901.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di carne e d;2080486.0;2514449.0;2484038.0;1726468.0;3705497.0;5120976.0;5111998.0;2709822.0;2894842.0;2675204.0;2877856.0;4513781.0;5338072.0;5248884.0;3935710.0;3196905.0;2883558.0;2772198.0;3432819.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre attività di telecomunicazioni;;;;;2735356.0;3040856.5;3332343.0;2445668.5;2405159.0;2986427.5;2716391.0;2723868.0;3086873.0;3319739.0;2752537.5;2518028.0;2181205.5;2452767.0;2764087.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di telecomunicazioni fisse;1150024.5;1217757.5;1147704.2;2606160.5;2584230.5;2724938.7;2762182.7;2438014.2;2303642.7;2554175.5;2627745.5;3213898.7;3429464.3;3807144.0;3331428.8;3263411.0;3247541.7;3439223.3;2658260.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di derivati del latte   ;1249903.0;1320093.5;1276424.0;1338303.0;2506434.7;3173284.3;3209404.0;2265337.0;1547668.0;3616341.0;3071853.7;2710170.3;3271214.3;3514312.0;2806983.3;2218951.3;1343342.7;2955028.0;2410836.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di somministrazione di bev;1511389.0;1793767.0;1842914.0;944588.5;3937611.3;4886623.0;4881682.7;170486.0;129495.3;2935194.0;2326849.3;2729287.7;3813367.7;3906300.3;2605697.0;280522.0;269754.0;2635168.3;2311149.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di prodo;;1415049.0;1477816.0;1709553.0;2697022.0;3243203.0;3284901.0;1981368.0;1515522.0;1524942.0;1687837.0;2761201.0;2834670.0;2783776.0;2146228.0;1806811.0;1558708.0;1497242.0;2113285.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Bar e altri esercizi simili sen;2156229.8;2335006.0;2235459.3;1269337.9;1962697.6;2691759.6;2951760.5;1149534.5;1205498.1;2332553.0;1935678.9;2121569.5;2764044.8;2726391.6;1641570.0;978113.2;742537.6;1738462.8;1941011.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fornitura di vapore e aria condizio;;;;;1216637.0;1587282.0;2276937.0;1466564.0;1401379.0;2083083.0;2175351.0;1255121.0;1784176.0;1866500.0;1683424.0;1334901.0;1698131.0;2025903.0;1703956.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ristoranti e attività di ristor;1939745.0;2311416.0;562543.0;541963.0;1292046.0;2517393.5;3972173.5;492183.5;645163.5;2561306.0;1480194.5;1290221.5;2576090.5;3223374.0;922542.0;428189.5;850641.0;1829583.5;1635376.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi di alloggio in aziende agri;;;;83623.0;1184540.0;2210649.0;2448013.0;502885.5;543260.5;3530407.0;2053072.5;1101429.5;2435027.0;2455768.5;1325648.5;582935.0;852021.0;2560511.0;1591319.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ristorazione con somministrazio;905828.0;1117703.5;1178613.8;1180653.9;2246244.7;2944704.3;2594967.6;610440.4;626701.1;1978439.4;1528377.1;1573366.2;2006510.8;2330800.2;1435631.1;818426.6;860746.4;1821925.6;1542226.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Istruzione secondaria e post-second;1712283.0;1564794.0;1536301.2;1776140.0;1346655.4;1348386.0;1083171.2;1762554.8;1839004.4;1756595.2;1524239.6;1344448.6;1307299.4;1023748.4;1373578.8;1627468.4;1621699.0;1645897.4;1510792.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di autoveico;2073191.0;1735499.0;1318060.0;1044120.0;753825.0;761516.0;808423.0;1509416.0;2255180.0;2705562.0;1823907.0;749571.0;839447.0;863177.0;955811.0;1586948.0;2225280.0;2506920.0;1473102.9
