PotenzaContrattuale;N
0.0;5
0.2;2
0.4;1
0.5;8
0.6;1
0.9;1
1.0;25
1.3;1
1.4;2
1.5;178
1.6;2
1.8;1
2.0;12
2.1;2
2.5;2
2.8;2
3.0;3261
3.3;2
3.4;3
3.5;2
3.6;2
3.7;1
3.9;1
4.0;128
4.5;551
4.6;1
4.68;1
4.8;2
5.0;25
5.1;1
5.4;1
5.5;3
6.0;356
6.2;2
6.4;1
6.5;1
7.0;6
7.1;1
7.2;1
7.4;1
7.7;1
8.0;14
8.8;1
9.0;3
9.2;1
9.4;1
9.5;2
9.87;1
9.9;1
9.92;1
10.0;87
10.2;1
10.4;1
11.0;6
11.2;3
12.0;1
12.4;1
12.5;1
12.7;1
13.0;2
14.3;1
14.5;1
15.0;53
15.2;2
15.5;2
15.7;1
15.8;1
16.0;1
16.2;1
16.4;1
16.7;1
16.8;1
17.0;3
17.5;1
19.0;1
19.4;1
19.51;1
19.75;1
19.78;1
19.84;1
19.85;1
20.0;29
20.2;1
20.5;1
21.5;1
21.6;1
22.0;1
22.1;1
22.7;2
23.6;1
24.0;1
24.4;1
24.8;1
25.0;11
25.4;2
26.2;1
27.0;1
27.5;1
27.8;1
28.0;2
28.4;1
29.2;1
30.0;3
31.2;1
34.0;1
34.6;1
35.0;1
37.6;1
39.6;1
40.2;1
42.2;1
43.2;2
43.5;1
44.2;1
46.2;1
46.5;1
48.0;1
49.6;1
50.0;1
52.2;1
52.4;1
52.7;1
54.0;1
55.0;1
61.74;1
62.8;1
64.4;1
71.0;1
78.0;1
80.0;1
