Tipologia;N_POD;PotMedia_kW;PotMediana_kW;PotMin_kW;PotMax_kW
DOMESTICI | USI DOMESTICI NON RE | Abitazioni private                 ;2541;3.49;3.0;1.0;25.0
DOMESTICI | USI DOMESTICI RESIDE | Abitazioni private                 ;1513;3.39;3.0;1.5;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi generali degli edifici per ;235;3.69;3.0;0.5;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi di alloggio di alberghi e s;56;20.97;16.9;1.0;78.0
BASSA TENSIONE ILLUM | BT I.P. liberi F3    | Servizi per la rete stradale (esclu;37;9.33;6.0;0.5;50.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività degli organi legislativi e;23;5.76;4.0;1.5;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Magazzinaggio e deposito non refrig;21;4.24;3.0;1.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Bar e altri esercizi simili sen;17;11.42;10.0;2.0;30.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Ristorazione con somministrazio;16;19.3;20.0;6.2;44.2
BT Utenze Ricarica P | BT Ric.Pubbl.Veicoli | Colonnine pubbliche di ricarica vei;13;13.75;11.0;1.5;52.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Allevamento di animali             ;12;2.5;3.0;1.5;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Costruzione di edifici residenz;11;9.83;6.0;3.0;34.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Telecomunicazioni fisse        ;11;3.14;3.0;0.5;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di altri pro;11;7.35;4.5;3.0;22.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di articoli ;11;7.61;6.0;3.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Amministrazione dello Stato e delle;10;4.66;3.8;1.5;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Raccolta, trattamento e fornitura d;10;12.22;5.5;1.5;55.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di artic;9;3.17;3.0;1.5;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Allevamento di bovini da latte     ;8;11.25;12.25;1.5;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività delle organizzazioni relig;8;8.62;6.0;1.5;27.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Consulenza nel settore delle te;8;13.44;15.0;1.5;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022ALTRE ATTIVITÀ DI SERVIZI PER L;8;3.38;3.0;1.5;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Amministrazione di condomini e ;8;4.86;4.0;1.5;10.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di porte e finest;8;20.09;19.15;4.8;43.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di altre organizzazioni as;8;3.88;3.0;1.5;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Trasporto di merci su strada e serv;8;4.62;4.5;1.5;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Minimercati ed altri esercizi n;7;14.22;15.0;6.0;20.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Riparazioni meccaniche di autov;6;10.78;8.95;6.0;19.78
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Installazione di impianti geotermic;6;6.42;6.0;3.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Coltivazioni agricole associate all;6;3.9;3.45;3.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di telecomunicazioni fisse;6;12.12;12.5;3.0;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività sportive                  ;6;9.07;8.1;0.2;25.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di trasmissione radiofonic;6;1.75;1.5;1.5;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Istruzione secondaria e post-second;5;13.46;15.0;2.8;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi dei saloni di barbiere ;5;4.9;4.5;3.0;7.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Coltivazione di colture agricole no;5;3.3;3.0;1.5;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività connesse alle te;5;3.8;1.5;1.5;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Aree di campeggio e aree attrez;5;7.82;9.2;0.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di servizi di intermediazi;4;3.0;3.0;3.0;3.0
DOMESTICI | USI DOMESTICI NON RE | Affitto e gestione di terreni per t;4;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Raccolta di rifiuti non pericolosi ;4;11.62;12.5;4.0;17.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività di trasporti ter;4;4.88;6.0;1.5;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gestione di impianti sportivi p;3;6.5;4.5;0.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Corsi sportivi e ricreativi    ;3;4.0;3.0;3.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di strutture metallic;3;34.73;24.8;15.0;64.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi veterinari                 ;3;6.33;6.0;3.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di derivati del latte   ;3;45.41;52.4;22.1;61.74
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Noleggio e leasing operativo di alt;3;11.1;10.0;3.3;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività postali con obbligo di ser;3;2.93;3.0;2.8;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di somministrazione di bev;3;17.83;20.0;13.0;20.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di rivendita di telecomuni;3;16.67;15.0;15.0;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di carburant;3;13.4;10.2;10.0;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Riparazione di carrozzerie di a;3;13.4;15.0;10.0;15.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Taglio e piallatura del legno  ;3;32.0;10.0;6.0;80.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Rifugi di montagna             ;3;13.5;19.0;0.0;21.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Rivestimento di pavimenti e di pare;3;23.6;5.0;3.0;62.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Affitto e gestione di terreni per t;3;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre intermediazioni monetarie for;3;10.33;10.0;6.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Servizi di alloggio in aziende agri;2;24.65;24.65;7.1;42.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Raccolta dei rifiuti               ;2;11.75;11.75;1.5;22.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio non speciali;2;8.0;8.0;6.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di prodotti ;2;4.5;4.5;3.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di medicinal;2;7.25;7.25;4.5;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di calzature;2;6.0;6.0;6.0;6.0
